City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,Kieta,-6.2167,155.6333,82.44,80,100,8.19,PG,2021-04-15 02:14:26
177,Samarai,-10.6167,150.6667,78.98,88,99,11.45,PG,2021-04-15 02:24:23
178,Clyde River,70.4692,-68.5914,-7.6,77,1,18.41,CA,2021-04-15 02:24:23
179,Etchojoa,26.9167,-109.6333,80.01,46,100,5.66,MX,2021-04-15 02:24:23
180,Margate,51.3813,1.3862,41.0,70,15,4.0,GB,2021-04-15 02:24:23
181,Gao,16.6362,1.637,84.6,8,62,8.79,ML,2021-04-15 02:20:26
182,Kungurtug,50.5994,97.5228,30.45,82,100,16.58,RU,2021-04-15 02:24:24
183,Karratha,-20.7377,116.8463,84.04,51,22,17.69,AU,2021-04-15 02:24:24
184,Port Hardy,50.6996,-127.4199,53.6,54,40,12.66,CA,2021-04-15 02:24:25
185,Kano,12.0001,8.5167,77.0,36,0,5.75,NG,2021-04-15 02:24:25
186,Mogadishu,2.0371,45.3438,81.61,71,99,8.16,SO,2021-04-15 02:20:28
187,Taoudenni,22.6783,-3.9836,83.88,12,0,13.06,ML,2021-04-15 02:24:25
188,Kaitangata,-46.2817,169.8464,64.99,56,8,1.99,NZ,2021-04-15 02:24:26
189,Guerrero Negro,27.9769,-114.0611,58.68,74,71,18.23,MX,2021-04-15 02:24:26
190,The Valley,18.217,-63.0578,79.0,78,40,6.91,AI,2021-04-15 02:24:26
191,Beringovskiy,63.05,179.3167,16.61,74,13,3.11,RU,2021-04-15 02:24:26
192,Olbia,40.9214,9.4856,41.0,93,0,4.61,IT,2021-04-15 02:24:27
193,Muisne,0.6,-80.0333,78.8,83,0,4.61,EC,2021-04-15 02:24:27
194,Merrill,45.1805,-89.6835,37.99,93,90,12.66,US,2021-04-15 02:24:27
195,Anadyr,64.75,177.4833,10.4,67,0,4.47,RU,2021-04-15 02:24:28
196,Port Hedland,-20.3167,118.5667,86.0,45,56,16.11,AU,2021-04-15 02:24:28
197,Adigeni,41.6819,42.6987,44.6,81,0,5.75,GE,2021-04-15 02:24:28
198,Marawi,7.9986,124.2928,84.0,79,100,5.01,PH,2021-04-15 02:24:29
199,Yulara,-25.2406,130.9889,64.4,63,75,17.27,AU,2021-04-15 02:24:29
200,Aklavik,68.2191,-135.0107,35.6,60,100,1.14,CA,2021-04-15 02:24:29
201,Geraldton,-28.7667,114.6,71.6,40,0,21.85,AU,2021-04-15 02:20:31
202,Lata,40.1629,-8.3327,60.01,95,100,2.33,PT,2021-04-15 02:14:46
203,Miranda,3.2499,-76.2281,73.4,83,40,6.91,CO,2021-04-15 02:24:30
204,Vieques,18.425,-65.8329,78.8,69,40,8.05,PR,2021-04-15 02:24:30
205,Arraial Do Cabo,-22.9661,-42.0278,74.19,62,59,4.56,BR,2021-04-15 02:24:30
206,Coihaique,-45.5752,-72.0662,46.4,81,75,3.44,CL,2021-04-15 02:24:31
207,Taltal,-25.4,-70.4833,64.0,78,14,3.51,CL,2021-04-15 02:24:31
208,Provideniya,64.3833,-173.3,23.0,68,0,4.47,RU,2021-04-15 02:24:31
209,Tuatapere,-46.1333,167.6833,62.01,73,100,5.99,NZ,2021-04-15 02:24:32
210,Half Moon Bay,37.4636,-122.4286,61.0,76,1,4.61,US,2021-04-15 02:24:32
211,Tonshayevo,57.736,47.0127,45.46,93,9,4.59,RU,2021-04-15 02:24:32
